SYMBOL	STAN	EOREOR
795711497668	12,000	EOREOR
795711515362	0,000	EOREOR
795711515379	0,000	EOREOR
795711515386	2,000	EOREOR
795711514969	1,000	EOREOR
795711497514	28,000	EOREOR
795711497521	12,000	EOREOR
795711514877	3,000	EOREOR
795711515737	10,000	EOREOR
795711515522	2,000	EOREOR
795711515669	1,000	EOREOR
795711515140	3,000	EOREOR
795711515157	13,000	EOREOR
795711514808	1,000	EOREOR
795711515164	0,000	EOREOR
795711497972	10,000	EOREOR
795711497989	7,000	EOREOR
795711515485	0,000	EOREOR
795711515225	13,000	EOREOR
795711930837	22,000	EOREOR
795711514785	0,000	EOREOR
795711331306	0,000	EOREOR
795711515652	0,000	EOREOR
795711515331	0,000	EOREOR
795711497279	0,000	EOREOR
795711497286	7,000	EOREOR
795711497293	1,000	EOREOR
795711498016	1,000	EOREOR
795711496968	15,000	EOREOR
795711323486	0,000	EOREOR
795711331139	0,000	EOREOR
795711375706	0,000	EOREOR
795711515560	0,000	EOREOR
795711515171	8,000	EOREOR
795711515188	0,000	EOREOR
795711515287	4,000	EOREOR
795711515294	0,000	EOREOR
795711514495	1,000	EOREOR
795711514532	16,000	EOREOR
795711497354	13,000	EOREOR
795711497538	13,000	EOREOR
795711496975	2,000	EOREOR
795711497309	13,000	EOREOR
795711513702	5,000	EOREOR
795711513719	8,000	EOREOR
795711513726	0,000	EOREOR
	2,000	EOREOR
795711513597	8,000	EOREOR
795711514891	12,000	EOREOR
795711514211	7,000	EOREOR
795711514556	7,000	EOREOR
795711497583	0,000	EOREOR
886661043286	1,000	EOREOR
795711497323	0,000	EOREOR
886661333646	1,000	EOREOR
795711497422	7,000	EOREOR
795711497446	1,000	EOREOR
00038157	1,000	EOREOR
795711513849	7,000	EOREOR
795711514914	3,000	EOREOR
795711514570	15,000	EOREOR
795711514587	7,000	EOREOR
795711514617	9,000	EOREOR
795711496630	1,000	EOREOR
795711498931	1,000	EOREOR
795711497194	5,000	EOREOR
795711499389	13,000	EOREOR
795711499396	2,000	EOREOR
795711498498	0,000	EOREOR
795711497002	1,000	EOREOR
795711498153	0,000	EOREOR
795711030094	3,000	EOREOR
795711496555	2,000	EOREOR
795711499136	0,000	EOREOR
795711496708	0,000	EOREOR
795711502799	0,000	EOREOR
795711502195	0,000	EOREOR
795711501068	15,000	EOREOR
795711501419	0,000	EOREOR
795711499471	0,000	EOREOR
795711499488	1,000	EOREOR
795711500108	1,000	EOREOR
	0,000	EOREOR
795711501884	18,000	EOREOR
795711501525	4,000	EOREOR
795711500368	9,000	EOREOR
795711499525	0,000	EOREOR
795711502126	4,000	EOREOR
795711502324	5,000	EOREOR
795711499907	3,000	EOREOR
795711500078	22,000	EOREOR
	0,000	EOREOR
795711499921	1,000	EOREOR
795711501020	4,000	EOREOR
795711501280	31,000	EOREOR
795711500023	2,000	EOREOR
795711500412	1,000	EOREOR
795711500818	14,000	EOREOR
795711501266	0,000	EOREOR
795711501693	9,000	EOREOR
795711499877	14,000	EOREOR
795711500443	0,000	EOREOR
795711502348	0,000	EOREOR
795711501808	1,000	EOREOR
795711501860	0,000	EOREOR
795711500887	0,000	EOREOR
795711502591	13,000	EOREOR
795711502607	17,000	EOREOR
795711502966	0,000	EOREOR
795711504052	1,000	EOREOR
795711502485	0,000	EOREOR
795711503048	0,000	EOREOR
795711991630	0,000	EOREOR
795711502744	1,000	EOREOR
795711502751	2,000	EOREOR
795711503215	0,000	EOREOR
	0,000	EOREOR
795711503529	0,000	EOREOR
795711503574	1,000	EOREOR
795711503536	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711503161	1,000	EOREOR
795711503475	4,000	EOREOR
795711503482	0,000	EOREOR
795711503796	0,000	EOREOR
795711502515	0,000	EOREOR
795711503338	1,000	EOREOR
	0,000	EOREOR
795711503758	10,000	EOREOR
795711503369	7,000	EOREOR
795711504113	2,000	EOREOR
795711503802	0,000	EOREOR
795711503833	21,000	EOREOR
00010979	0,000	EOREOR
	0,000	EOREOR
795711930844	10,000	EOREOR
795711502737	0,000	EOREOR
795711504786	0,000	EOREOR
795711504793	5,000	EOREOR
795711503789	9,000	EOREOR
795711504618	1,000	EOREOR
795711503383	4,000	EOREOR
	0,000	EOREOR
795711502492	6,000	EOREOR
795711503192	7,000	EOREOR
795711503024	4,000	EOREOR
795711503031	3,000	EOREOR
795711503239	8,000	EOREOR
795711503970	0,000	EOREOR
	0,000	EOREOR
795711502904	0,000	EOREOR
795711503116	0,000	EOREOR
	0,000	EOREOR
795711502676	11,000	EOREOR
795711032685	2,000	EOREOR
795711032692	0,000	EOREOR
795711503208	1,000	EOREOR
795711506148	0,000	EOREOR
795711505356	0,000	EOREOR
795711504939	0,000	EOREOR
795711504229	0,000	EOREOR
795711505639	0,000	EOREOR
795711505646	0,000	EOREOR
795711506322	3,000	EOREOR
795711504366	0,000	EOREOR
